service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0051ML41870600124213,1,1,1,1,1,0,0,20140111,20140214
0051ML41870630133963,1,1,1,1,1,0,0,20140111,20140214
0051ML41870700143713,1,1,1,1,1,0,0,20140111,20140214
0051ML41870715148588,1,1,1,1,1,0,0,20140111,20140214
0051ML41870730153463,1,1,1,1,1,0,0,20140111,20140214
0051ML41870745158338,1,1,1,1,1,0,0,20140111,20140214
0051ML41870800163213,1,1,1,1,1,0,0,20140111,20140214
0051ML41870815168088,1,1,1,1,1,0,0,20140111,20140214
0051ML41870830172963,1,1,1,1,1,0,0,20140111,20140214
0052ML43111605375521,1,1,1,1,1,0,0,20140111,20140214
0052ML43111625383081,1,1,1,1,1,0,0,20140111,20140214
0052ML43111645390641,1,1,1,1,1,0,0,20140111,20140214
0052ML43111705398201,1,1,1,1,1,0,0,20140111,20140214
0052ML43111725405761,1,1,1,1,1,0,0,20140111,20140214
0052ML43111745413321,1,1,1,1,1,0,0,20140111,20140214
0052ML43111805420881,1,1,1,1,1,0,0,20140111,20140214
0052ML43111825428441,1,1,1,1,1,0,0,20140111,20140214
0052ML43111845436001,1,1,1,1,1,0,0,20140111,20140214
0070ML555719153753935,1,1,1,1,1,0,0,20140111,20140214
0070ML555720153943535,1,1,1,1,1,0,0,20140111,20140214
0070ML555721154127251,1,1,1,1,1,0,0,20140111,20140214
0071ML24530625870195,1,1,1,1,1,0,0,20140111,20140214
0071ML24530710977575,1,1,1,1,1,0,0,20140111,20140214
0071ML245307301030971,1,1,1,1,1,0,0,20140111,20140214
0071ML245308101119472,1,1,1,1,1,0,0,20140111,20140214
0071ML245315101976770,1,1,1,1,1,0,0,20140111,20140214
0071ML245315402039170,1,1,1,1,1,0,0,20140111,20140214
0071ML245316152111532,1,1,1,1,1,0,0,20140111,20140214
0071ML245316452174370,1,1,1,1,1,0,0,20140111,20140214
0071ML245317152234463,1,1,1,1,1,0,0,20140111,20140214
0071ML245317452296073,1,1,1,1,1,0,0,20140111,20140214
0072ML555807351058338,1,1,1,1,1,0,0,20140111,20140214
0072ML555808101133322,1,1,1,1,1,0,0,20140111,20140214
0072ML555808451201313,1,1,1,1,1,0,0,20140111,20140214
0072ML555815402097083,1,1,1,1,1,0,0,20140111,20140214
0072ML555816102163964,1,1,1,1,1,0,0,20140111,20140214
0072ML555816402228405,1,1,1,1,1,0,0,20140111,20140214
0072ML555817102283940,1,1,1,1,1,0,0,20140111,20140214
0072ML555817402348290,1,1,1,1,1,0,0,20140111,20140214
0073ML438408001610508,0,0,0,0,0,1,0,20140111,20140214
0073ML438408001612214,1,0,0,1,0,0,1,20140111,20140214
0073ML438408451749719,0,0,0,0,0,1,0,20140111,20140214
0073ML438409151842149,0,0,0,0,0,1,0,20140111,20140214
0073ML438409151843595,1,0,0,1,0,0,1,20140111,20140214
0073ML438409451934579,0,0,0,0,0,1,0,20140111,20140214
0073ML438410152027009,0,0,0,0,0,1,0,20140111,20140214
0073ML438410302074670,1,0,0,1,0,0,1,20140111,20140214
0073ML438410452119439,0,0,0,0,0,1,0,20140111,20140214
0073ML438411152211869,0,0,0,0,0,1,0,20140111,20140214
0073ML438411452304299,0,0,0,0,0,1,0,20140111,20140214
0073ML438411452305745,1,0,0,1,0,0,1,20140111,20140214
0073ML438412152396729,0,0,0,0,0,1,0,20140111,20140214
0073ML438412452489159,0,0,0,0,0,1,0,20140111,20140214
0073ML438413002536514,1,0,0,1,0,0,1,20140111,20140214
0073ML438413152581589,0,0,0,0,0,1,0,20140111,20140214
