service_id,date,exception_type
0051ML41870600124213,20140127,2
0051ML41870600124213,20140206,2
0051ML41870630133963,20140127,2
0051ML41870630133963,20140206,2
0051ML41870700143713,20140127,2
0051ML41870700143713,20140206,2
0051ML41870715148588,20140127,2
0051ML41870715148588,20140206,2
0051ML41870730153463,20140127,2
0051ML41870730153463,20140206,2
0051ML41870745158338,20140127,2
0051ML41870745158338,20140206,2
0051ML41870800163213,20140127,2
0051ML41870800163213,20140206,2
0051ML41870815168088,20140127,2
0051ML41870815168088,20140206,2
0051ML41870830172963,20140127,2
0051ML41870830172963,20140206,2
0052ML43111605375521,20140127,2
0052ML43111605375521,20140206,2
0052ML43111625383081,20140127,2
0052ML43111625383081,20140206,2
0052ML43111645390641,20140127,2
0052ML43111645390641,20140206,2
0052ML43111705398201,20140127,2
0052ML43111705398201,20140206,2
0052ML43111725405761,20140127,2
0052ML43111725405761,20140206,2
0052ML43111745413321,20140127,2
0052ML43111745413321,20140206,2
0052ML43111805420881,20140127,2
0052ML43111805420881,20140206,2
0052ML43111825428441,20140127,2
0052ML43111825428441,20140206,2
0052ML43111845436001,20140127,2
0052ML43111845436001,20140206,2
0070ML555719153753935,20140127,2
0070ML555719153753935,20140206,2
0070ML555720153943535,20140127,2
0070ML555720153943535,20140206,2
0070ML555721154127251,20140127,2
0070ML555721154127251,20140206,2
0071ML24530625870195,20140127,2
0071ML24530625870195,20140206,2
0071ML24530710977575,20140127,2
0071ML24530710977575,20140206,2
0071ML245307301030971,20140127,2
0071ML245307301030971,20140206,2
0071ML245308101119472,20140127,2
0071ML245308101119472,20140206,2
0071ML245315101976770,20140127,2
0071ML245315101976770,20140206,2
0071ML245315402039170,20140127,2
0071ML245315402039170,20140206,2
0071ML245316152111532,20140127,2
0071ML245316152111532,20140206,2
0071ML245316452174370,20140127,2
0071ML245316452174370,20140206,2
0071ML245317152234463,20140127,2
0071ML245317152234463,20140206,2
0071ML245317452296073,20140127,2
0071ML245317452296073,20140206,2
0072ML555807351058338,20140127,2
0072ML555807351058338,20140206,2
0072ML555808101133322,20140127,2
0072ML555808101133322,20140206,2
0072ML555808451201313,20140127,2
0072ML555808451201313,20140206,2
0072ML555815402097083,20140127,2
0072ML555815402097083,20140206,2
0072ML555816102163964,20140127,2
0072ML555816102163964,20140206,2
0072ML555816402228405,20140127,2
0072ML555816402228405,20140206,2
0072ML555817102283940,20140127,2
0072ML555817102283940,20140206,2
0072ML555817402348290,20140127,2
0072ML555817402348290,20140206,2
0073ML438408001612214,20140113,2
0073ML438408001612214,20140116,2
0073ML438408001612214,20140120,2
0073ML438408001612214,20140123,2
0073ML438408001612214,20140130,2
0073ML438408001612214,20140203,2
0073ML438408001612214,20140210,2
0073ML438408001612214,20140213,2
0073ML438409151843595,20140113,2
0073ML438409151843595,20140116,2
0073ML438409151843595,20140120,2
0073ML438409151843595,20140123,2
0073ML438409151843595,20140130,2
0073ML438409151843595,20140203,2
0073ML438409151843595,20140210,2
0073ML438409151843595,20140213,2
0073ML438410302074670,20140113,2
0073ML438410302074670,20140116,2
0073ML438410302074670,20140120,2
0073ML438410302074670,20140123,2
0073ML438410302074670,20140130,2
0073ML438410302074670,20140203,2
0073ML438410302074670,20140210,2
0073ML438410302074670,20140213,2
0073ML438411452305745,20140113,2
0073ML438411452305745,20140116,2
0073ML438411452305745,20140120,2
0073ML438411452305745,20140123,2
0073ML438411452305745,20140130,2
0073ML438411452305745,20140203,2
0073ML438411452305745,20140210,2
0073ML438411452305745,20140213,2
0073ML438413002536514,20140113,2
0073ML438413002536514,20140116,2
0073ML438413002536514,20140120,2
0073ML438413002536514,20140123,2
0073ML438413002536514,20140130,2
0073ML438413002536514,20140203,2
0073ML438413002536514,20140210,2
0073ML438413002536514,20140213,2
0073ML438414152767895,20140113,2
0073ML438414152767895,20140116,2
0073ML438414152767895,20140120,2
0073ML438414152767895,20140123,2
0073ML438414152767895,20140130,2
0073ML438414152767895,20140203,2
0073ML438414152767895,20140210,2
0073ML438414152767895,20140213,2
0073ML438415302998970,20140113,2
0073ML438415302998970,20140116,2
0073ML438415302998970,20140120,2
0073ML438415302998970,20140123,2
0073ML438415302998970,20140130,2
0073ML438415302998970,20140203,2
0073ML438415302998970,20140210,2
0073ML438415302998970,20140213,2
0073ML438416453230045,20140113,2
0073ML438416453230045,20140116,2
0073ML438416453230045,20140120,2
0073ML438416453230045,20140123,2
0073ML438416453230045,20140130,2
0073ML438416453230045,20140203,2
0073ML438416453230045,20140210,2
0073ML438416453230045,20140213,2
0073ML438418003450161,20140113,2
0073ML438418003450161,20140116,2
0073ML438418003450161,20140120,2
0073ML438418003450161,20140123,2
0073ML438418003450161,20140130,2
0073ML438418003450161,20140203,2
0073ML438418003450161,20140210,2
0073ML438418003450161,20140213,2
0074ML554908001772855,20140113,2
0074ML554908001772855,20140116,2
0074ML554908001772855,20140120,2
0074ML554908001772855,20140123,2
0074ML554908001772855,20140130,2
0074ML554908001772855,20140203,2
0074ML554908001772855,20140210,2
0074ML554908001772855,20140213,2
0074ML554909152028080,20140113,2
0074ML554909152028080,20140116,2
0074ML554909152028080,20140120,2
0074ML554909152028080,20140123,2
0074ML554909152028080,20140130,2
0074ML554909152028080,20140203,2
0074ML554909152028080,20140210,2
0074ML554909152028080,20140213,2
0074ML554910302283305,20140113,2
0074ML554910302283305,20140116,2
0074ML554910302283305,20140120,2
0074ML554910302283305,20140123,2
0074ML554910302283305,20140130,2
0074ML554910302283305,20140203,2
0074ML554910302283305,20140210,2
0074ML554910302283305,20140213,2
0074ML554911452538530,20140113,2
0074ML554911452538530,20140116,2
0074ML554911452538530,20140120,2
0074ML554911452538530,20140123,2
0074ML554911452538530,20140130,2
0074ML554911452538530,20140203,2
0074ML554911452538530,20140210,2
0074ML554911452538530,20140213,2
0074ML554913002793755,20140113,2
0074ML554913002793755,20140116,2
0074ML554913002793755,20140120,2
0074ML554913002793755,20140123,2
0074ML554913002793755,20140130,2
0074ML554913002793755,20140203,2
0074ML554913002793755,20140210,2
0074ML554913002793755,20140213,2
0074ML554914153048980,20140113,2
0074ML554914153048980,20140116,2
0074ML554914153048980,20140120,2
0074ML554914153048980,20140123,2
0074ML554914153048980,20140130,2
0074ML554914153048980,20140203,2
0074ML554914153048980,20140210,2
0074ML554914153048980,20140213,2
0074ML554915303304205,20140113,2
0074ML554915303304205,20140116,2
0074ML554915303304205,20140120,2
0074ML554915303304205,20140123,2
0074ML554915303304205,20140130,2
0074ML554915303304205,20140203,2
0074ML554915303304205,20140210,2
0074ML554915303304205,20140213,2
0074ML554916453559430,20140113,2
0074ML554916453559430,20140116,2
0074ML554916453559430,20140120,2
0074ML554916453559430,20140123,2
0074ML554916453559430,20140130,2
0074ML554916453559430,20140203,2
0074ML554916453559430,20140210,2
0074ML554916453559430,20140213,2
0074ML554918003814655,20140113,2
0074ML554918003814655,20140116,2
0074ML554918003814655,20140120,2
0074ML554918003814655,20140123,2
0074ML554918003814655,20140130,2
0074ML554918003814655,20140203,2
0074ML554918003814655,20140210,2
0074ML554918003814655,20140213,2
0074ML555907101275575,20140127,2
0074ML555907101275575,20140206,2
0075ML439806501344404,20140127,2
0075ML439806501344404,20140206,2
0075ML439807101438631,20140127,2
0075ML439807101438631,20140206,2
0075ML439807401539007,20140127,2
0075ML439807401539007,20140206,2
0075ML439815152889251,20140127,2
0075ML439815152889251,20140206,2
0075ML439815502989017,20140127,2
0075ML439815502989017,20140206,2
0075ML439816203080729,20140127,2
0075ML439816203080729,20140206,2
0075ML439816503167940,20140127,2
0075ML439816503167940,20140206,2
0075ML439817203257145,20140127,2
0075ML439817203257145,20140206,2
0075ML439817503343082,20140127,2
0075ML439817503343082,20140206,2
0075ML439818153418157,20140127,2
0075ML439818153418157,20140206,2
0076ML556005551256520,20140127,2
0076ML556005551256520,20140206,2
0076ML556006251370945,20140127,2
0076ML556006251370945,20140206,2
0076ML556006551493646,20140127,2
0076ML556006551493646,20140206,2
0076ML556007201584241,20140127,2
0076ML556007201584241,20140206,2
0076ML556007551689690,20140127,2
0076ML556007551689690,20140206,2
0076ML556008301799909,20140127,2
0076ML556008301799909,20140206,2
0076ML556015253145479,20140127,2
0076ML556015253145479,20140206,2
0076ML556015553245998,20140127,2
0076ML556015553245998,20140206,2
0076ML556016253343198,20140127,2
0076ML556016253343198,20140206,2
0076ML556016553439262,20140127,2
0076ML556016553439262,20140206,2
0076ML556017253527192,20140127,2
0076ML556017253527192,20140206,2
0076ML556017553608015,20140127,2
0076ML556017553608015,20140206,2
0076ML556018153661534,20140127,2
0076ML556018153661534,20140206,2
0077ML439908151762207,20140127,2
0077ML439908151762207,20140206,2
0077ML439908451843168,20140127,2
0077ML439908451843168,20140206,2
0077ML439909151940368,20140127,2
0077ML439909151940368,20140206,2
0077ML439909452037568,20140127,2
0077ML439909452037568,20140206,2
0077ML439910152134768,20140127,2
0077ML439910152134768,20140206,2
0077ML439910402215768,20140127,2
0077ML439910402215768,20140206,2
0077ML439911102312968,20140127,2
0077ML439911102312968,20140206,2
0077ML439911402410168,20140127,2
0077ML439911402410168,20140206,2
0077ML439912102508142,20140127,2
0077ML439912102508142,20140206,2
0077ML439912402610000,20140127,2
0077ML439912402610000,20140206,2
0077ML439913102707200,20140127,2
0077ML439913102707200,20140206,2
0077ML439913402804400,20140127,2
0077ML439913402804400,20140206,2
0077ML439914102905141,20140127,2
0077ML439914102905141,20140206,2
0077ML439914403004358,20140127,2
0077ML439914403004358,20140206,2
0078ML556109002028638,20140127,2
0078ML556109002028638,20140206,2
0078ML556109252115788,20140127,2
0078ML556109252115788,20140206,2
0078ML556109552220368,20140127,2
0078ML556109552220368,20140206,2
0078ML556110252324948,20140127,2
0078ML556110252324948,20140206,2
0078ML556110552429528,20140127,2
0078ML556110552429528,20140206,2
0078ML556111252534108,20140127,2
0078ML556111252534108,20140206,2
0078ML556111552638688,20140127,2
0078ML556111552638688,20140206,2
0078ML556112252743268,20140127,2
0078ML556112252743268,20140206,2
