route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
0051ML4187,AT,005,Pt Chevalier To Britomart Via Herne Bay And College Hill,3,00F0FF,000000
0052ML4311,AT,005,Britomart To Pt Chevalier Via College Hill & Herne Bay,3,00F0FF,000000
0070ML5557,AT,007,Pt Chevalier To St Heliers,3,00F0FF,000000
0071ML2453,AT,007,Glen Innes To Pt Chevalier,3,00F0FF,000000
0072ML5558,AT,007,Pt Chevalier To Glen Innes,3,00F0FF,000000
0073ML4384,AT,007,St Heliers To Pt Chevalier Via Selwyn Village,3,00F0FF,000000
0074ML5549,AT,007,Pt Chevalier To St Heliers Via Selwyn Village,3,00F0FF,000000
0074ML5559,AT,007,Pt Chevalier To Glen Innes,3,00F0FF,000000
0075ML4398,AT,007,St Heliers To Pt Chevalier,3,00F0FF,000000
0076ML5560,AT,007,Pt Chevalier To St Heliers,3,00F0FF,000000
0077ML4399,AT,007,St Heliers To Pt Chevalier Via Selwyn Village,3,00F0FF,000000
0078ML5561,AT,007,Pt Chevalier To St Heliers Via Selwyn Village,3,00F0FF,000000
0079ML2461,AT,007,St Heliers To Pt Chevalier,3,00F0FF,000000
0088UE3457,AT,008,New Lynn To Onehunga,3,DCC8FF,C80000
0091UE5464,AT,009,Onehunga To New Lynn,3,DCC8FF,C80000
0093UE5468,AT,009,Sylvia Park To New Lynn Via Blockhouse Bay Shops,3,DCC8FF,C80000
0095UE5465,AT,009,Sylvia Park To New Lynn Via Blockhouse Bay Shops,3,DCC8FF,C80000
0096UE5501,AT,009,New Lynn To Sylvia Park Via Blockhouse Bay Shops,3,DCC8FF,C80000
0101ML4551,AT,010,Onehunga To Wynyard Quarter Via Unitec,3,00F0FF,000000
0102ML4552,AT,010,Wynyard Quarter To Onehunga Via Unitec,3,00F0FF,000000
0111ML4180,AT,011,Onehunga To St Lukes Via Landscape Rd,3,00F0FF,000000
0112ML4726,AT,011,St Lukes To Onehunga Via Landscape Rd,3,00F0FF,000000
0201ML4483,AT,020,Westmere To Britomart Via Richmond Rd,3,00F0FF,000000
0202ML5257,AT,020,Britomart To Westmere Via Richmond Rd,3,00F0FF,000000
0203ML4484,AT,020X,Westmere To Britomart Express,3,00F0FF,000000
0204ML5260,AT,020X,Britomart To Westmere Express,3,00F0FF,000000
0301ML4219,AT,030,Pt Chevalier To Britomart Via Williamson Ave,3,00F0FF,000000
0302ML4190,AT,030,Britomart To Pt Chevalier Via Williamson Ave,3,00F0FF,000000
0303ML4220,AT,030,Pt Chevalier To Britomart Via Muripara And Williamson Ave,3,00F0FF,000000
0304ML5347,AT,030,Britomart To Pt Chevalier Via Williamson And Muripara Ave,3,00F0FF,000000
0306ML4193,AT,030,Britomart To Pt Chevalier Via Williamson Ave,3,00F0FF,000000
0481GW1932,AT,048,Te Atatu Peninsula To Britomart,3,64FF00,000000
0482GW1317,AT,048,Britomart To Te Atatu Peninsula,3,64FF00,000000
0483GW5562,AT,048X,Te Atatu Peninsula To Britomart Express,3,64FF00,000000
0484GW5563,AT,048X,Britomart To Te Atatu Peninsula Express,3,64FF00,000000
0486GW5554,AT,048,Britomart To Te Atatu Peninsula,3,64FF00,000000
0491GW5555,AT,049,Henderson To Britomart Via Te Atatu Peninsula,3,64FF00,000000
0492GW5556,AT,049,Britomart To Te Atatu Peninsula To Henderson,3,64FF00,000000
0493GW1721,AT,049,Henderson To Te Atatu Peninsula,3,64FF00,000000
0601RT3572,AT,060X,Helensville To Britomart,3,FFDCDC,0000FF
0602RT3573,AT,060X,Britomart To Helensville,3,FFDCDC,0000FF
0603RT3574,AT,060,Helensville To Westgate,3,FFDCDC,0000FF
0604RT3575,AT,060,Westgate To Helensville,3,FFDCDC,0000FF
0701RT4161,AT,070X,Westgate To Britomart Express Via Waimumu Rd,3,FFDCDC,0000FF
0702RT5492,AT,070X,Britomart To Westgate Express Via Waimumu Rd,3,FFDCDC,0000FF
0703GW1886,AT,07F,Parrs Corner To Britomart Flyer,3,64FF00,000000
0704GW1887,AT,07F,Britomart To Parrs Corner Flyer,3,64FF00,000000
0791GW4230,AT,079,Sturges Road To Britomart,3,64FF00,000000
0792GW4231,AT,079,Britomart To Sturges Road Via Sunnyvale,3,64FF00,000000
0801RT3813,AT,080,Westgate To Britomart,3,FFDCDC,0000FF
0802UE3444,AT,008,New Lynn To Otahuhu,3,DCC8FF,C80000
0803UE5299,AT,008,Otahuhu To New Lynn,3,DCC8FF,C80000
0804RT3396,AT,080,Britomart To Westgate,3,FFDCDC,0000FF
0805RT5493,AT,080X,Westgate To Britomart Express,3,FFDCDC,0000FF
0806RT5494,AT,080X,Britomart To Westgate Express,3,FFDCDC,0000FF
0808RT3464,AT,080,Henderson To Westgate Via Don Buck Rd,3,FFDCDC,0000FF
0821RT3820,AT,082,Westgate To Te Atatu Peninnsula,3,FFDCDC,0000FF
0822RT3821,AT,082,Te Atatu Peninnsula To Westgate,3,FFDCDC,0000FF
0851GW0125,AT,085,Swanson To Britomart,3,64FF00,000000
0852GW1471,AT,085,Britomart To Swanson,3,64FF00,000000
0871GW4182,AT,087,Ranui To Britomart,3,64FF00,000000
0872GW3196,AT,087,Britomart To Ranui,3,64FF00,000000
0873GW4183,AT,087,Ranui To Britomart Via Rsa Village,3,64FF00,000000
0874GW4678,AT,087,Britomart To Ranui Via Rsa Village,3,64FF00,000000
0900GW4232,AT,09F,Britomart To Sturges Rd,3,64FF00,000000
0901RT5568,AT,090,Westgate To Britomart Via Massey East,3,FFDCDC,0000FF
0902RT5450,AT,090,Britomart To Westgate Via Massey East,3,FFDCDC,0000FF
0903RT5570,AT,090X,Westgate To Britomart Express Via Massey East,3,FFDCDC,0000FF
0904RT5495,AT,090X,Britomart To Westgate Express Via Massey East,3,FFDCDC,0000FF
0905RT5569,AT,090,Westgate To Henderson Via Massey East,3,FFDCDC,0000FF
0906RT3651,AT,090,Henderson To Westgate Via Massey East,3,FFDCDC,0000FF
0909GW4729,AT,09F,Sturges Rd To Britomart Flyer,3,64FF00,000000
0921RT5476,AT,092,Hobsonville To Britomart,3,FFDCDC,0000FF
0922RT5451,AT,092,Britomart To Hobsonville,3,FFDCDC,0000FF
0923RT5477,AT,092,Hobsonville To Henderson,3,FFDCDC,0000FF
0924RT5452,AT,092,Henderson To Hobsonville,3,FFDCDC,0000FF
0925RT5209,AT,092,Hobsonville To Westgate,3,FFDCDC,0000FF
0926RT4319,AT,092,Westgate To Hobsonville,3,FFDCDC,0000FF
0927RT5210,AT,092,Hobsonville Wharf To Westgate,3,FFDCDC,0000FF
0928RT5074,AT,092,Westgate To Hobsonville Wharf,3,FFDCDC,0000FF
0931RT5485,AT,093,Whenuapai To Westgate,3,FFDCDC,0000FF
0932RT4320,AT,093,Westgate To Whenuapai,3,FFDCDC,0000FF
0937RT5486,AT,093,Whenuapai To Westgate Via Hobsonville Wharf,3,FFDCDC,0000FF
0938RT5077,AT,093,Westgate To Whenuapai Via Hobsonville Wharf,3,FFDCDC,0000FF
