route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
0051ML4187,0051ML41870600124213,0051ML41870600124213,BRITOMART,0,4187
0051ML4187,0051ML41870630133963,0051ML41870630133963,BRITOMART,0,4187
0051ML4187,0051ML41870700143713,0051ML41870700143713,BRITOMART,0,4187
0051ML4187,0051ML41870715148588,0051ML41870715148588,BRITOMART,0,4187
0051ML4187,0051ML41870730153463,0051ML41870730153463,BRITOMART,0,4187
0051ML4187,0051ML41870745158338,0051ML41870745158338,BRITOMART,0,4187
0051ML4187,0051ML41870800163213,0051ML41870800163213,BRITOMART,0,4187
0051ML4187,0051ML41870815168088,0051ML41870815168088,BRITOMART,0,4187
0051ML4187,0051ML41870830172963,0051ML41870830172963,BRITOMART,0,4187
0052ML4311,0052ML43111605375521,0052ML43111605375521,PT CHEV,1,4311
0052ML4311,0052ML43111625383081,0052ML43111625383081,PT CHEV,1,4311
0052ML4311,0052ML43111645390641,0052ML43111645390641,PT CHEV,1,4311
0052ML4311,0052ML43111705398201,0052ML43111705398201,PT CHEV,1,4311
0052ML4311,0052ML43111725405761,0052ML43111725405761,PT CHEV,1,4311
0052ML4311,0052ML43111745413321,0052ML43111745413321,PT CHEV,1,4311
0052ML4311,0052ML43111805420881,0052ML43111805420881,PT CHEV,1,4311
0052ML4311,0052ML43111825428441,0052ML43111825428441,PT CHEV,1,4311
0052ML4311,0052ML43111845436001,0052ML43111845436001,PT CHEV,1,4311
0070ML5557,0070ML555719153753935,0070ML555719153753935,ST HELIERS,1,5557
0070ML5557,0070ML555720153943535,0070ML555720153943535,ST HELIERS,1,5557
0070ML5557,0070ML555721154127251,0070ML555721154127251,ST HELIERS,1,5557
0071ML2453,0071ML24530625870195,0071ML24530625870195,PT CHEV,0,2453
0071ML2453,0071ML24530710977575,0071ML24530710977575,PT CHEV,0,2453
0071ML2453,0071ML245307301030971,0071ML245307301030971,PT CHEV,0,2453
0071ML2453,0071ML245308101119472,0071ML245308101119472,PT CHEV,0,2453
0071ML2453,0071ML245315101976770,0071ML245315101976770,PT CHEV,0,2453
0071ML2453,0071ML245315402039170,0071ML245315402039170,PT CHEV,0,2453
0071ML2453,0071ML245316152111532,0071ML245316152111532,PT CHEV,0,2453
0071ML2453,0071ML245316452174370,0071ML245316452174370,PT CHEV,0,2453
0071ML2453,0071ML245317152234463,0071ML245317152234463,PT CHEV,0,2453
0071ML2453,0071ML245317452296073,0071ML245317452296073,PT CHEV,0,2453
0072ML5558,0072ML555807351058338,0072ML555807351058338,GLEN INNES,1,5558
0072ML5558,0072ML555808101133322,0072ML555808101133322,GLEN INNES,1,5558
0072ML5558,0072ML555808451201313,0072ML555808451201313,GLEN INNES,1,5558
0072ML5558,0072ML555815402097083,0072ML555815402097083,GLEN INNES,1,5558
0072ML5558,0072ML555816102163964,0072ML555816102163964,GLEN INNES,1,5558
0072ML5558,0072ML555816402228405,0072ML555816402228405,GLEN INNES,1,5558
0072ML5558,0072ML555817102283940,0072ML555817102283940,GLEN INNES,1,5558
0072ML5558,0072ML555817402348290,0072ML555817402348290,GLEN INNES,1,5558
0073ML4384,0073ML438408001610508,0073ML438408001610508,PT CHEV,0,4384
0073ML4384,0073ML438408001612214,0073ML438408001612214,PT CHEV,0,4384
0073ML4384,0073ML438408451749719,0073ML438408451749719,PT CHEV,0,4384
0073ML4384,0073ML438409151842149,0073ML438409151842149,PT CHEV,0,4384
0073ML4384,0073ML438409151843595,0073ML438409151843595,PT CHEV,0,4384
0073ML4384,0073ML438409451934579,0073ML438409451934579,PT CHEV,0,4384
0073ML4384,0073ML438410152027009,0073ML438410152027009,PT CHEV,0,4384
0073ML4384,0073ML438410302074670,0073ML438410302074670,PT CHEV,0,4384
0073ML4384,0073ML438410452119439,0073ML438410452119439,PT CHEV,0,4384
0073ML4384,0073ML438411152211869,0073ML438411152211869,PT CHEV,0,4384
0073ML4384,0073ML438411452304299,0073ML438411452304299,PT CHEV,0,4384
0073ML4384,0073ML438411452305745,0073ML438411452305745,PT CHEV,0,4384
0073ML4384,0073ML438412152396729,0073ML438412152396729,PT CHEV,0,4384
0073ML4384,0073ML438412452489159,0073ML438412452489159,PT CHEV,0,4384
0073ML4384,0073ML438413002536514,0073ML438413002536514,PT CHEV,0,4384
0073ML4384,0073ML438413152581589,0073ML438413152581589,PT CHEV,0,4384
0073ML4384,0073ML438413452674019,0073ML438413452674019,PT CHEV,0,4384
0073ML4384,0073ML438414152766449,0073ML438414152766449,PT CHEV,0,4384
0073ML4384,0073ML438414152767895,0073ML438414152767895,PT CHEV,0,4384
0073ML4384,0073ML438414452858879,0073ML438414452858879,PT CHEV,0,4384
0073ML4384,0073ML438415152951309,0073ML438415152951309,PT CHEV,0,4384
0073ML4384,0073ML438415302998970,0073ML438415302998970,PT CHEV,0,4384
0073ML4384,0073ML438415453043739,0073ML438415453043739,PT CHEV,0,4384
0073ML4384,0073ML438416153136169,0073ML438416153136169,PT CHEV,0,4384
0073ML4384,0073ML438416453228599,0073ML438416453228599,PT CHEV,0,4384
0073ML4384,0073ML438416453230045,0073ML438416453230045,PT CHEV,0,4384
0073ML4384,0073ML438417153321029,0073ML438417153321029,PT CHEV,0,4384
0073ML4384,0073ML438417453413459,0073ML438417453413459,PT CHEV,0,4384
0073ML4384,0073ML438418003450161,0073ML438418003450161,PT CHEV,0,4384
0073ML4384,0073ML438418153495857,0073ML438418153495857,PT CHEV,0,4384
0073ML4384,0073ML438419053639654,0073ML438419053639654,PT CHEV,0,4384
0074ML5549,0074ML554908001772855,0074ML554908001772855,ST HELIERS,1,5549
0074ML5549,0074ML554908051789870,0074ML554908051789870,ST HELIERS,1,5549
0074ML5549,0074ML554908351891960,0074ML554908351891960,ST HELIERS,1,5549
0074ML5549,0074ML554909051994050,0074ML554909051994050,ST HELIERS,1,5549
0074ML5549,0074ML554909152028080,0074ML554909152028080,ST HELIERS,1,5549
0074ML5549,0074ML554909352096140,0074ML554909352096140,ST HELIERS,1,5549
0074ML5549,0074ML554910002181215,0074ML554910002181215,ST HELIERS,1,5549
0074ML5549,0074ML554910302283305,0074ML554910302283305,ST HELIERS,1,5549
0074ML5549,0074ML554911002385395,0074ML554911002385395,ST HELIERS,1,5549
0074ML5549,0074ML554911302487485,0074ML554911302487485,ST HELIERS,1,5549
0074ML5549,0074ML554911452538530,0074ML554911452538530,ST HELIERS,1,5549
0074ML5549,0074ML554912002589575,0074ML554912002589575,ST HELIERS,1,5549
0074ML5549,0074ML554912302691665,0074ML554912302691665,ST HELIERS,1,5549
0074ML5549,0074ML554913002793755,0074ML554913002793755,ST HELIERS,1,5549
0074ML5549,0074ML554913302895845,0074ML554913302895845,ST HELIERS,1,5549
0074ML5549,0074ML554914002997935,0074ML554914002997935,ST HELIERS,1,5549
0074ML5549,0074ML554914153048980,0074ML554914153048980,ST HELIERS,1,5549
0074ML5549,0074ML554914303100025,0074ML554914303100025,ST HELIERS,1,5549
0074ML5549,0074ML554915003202115,0074ML554915003202115,ST HELIERS,1,5549
0074ML5549,0074ML554915303304205,0074ML554915303304205,ST HELIERS,1,5549
